Código;Descrição Resumida
100001701;REFRIGERADOR FRIGOBAR 80L 127 V
100001700;REFRIGERADOR 01 PORTA 310 A 350L 127V DEGELO
100001699;REFRIGERADOR 01 PORTA 300 A 350L 127V FROST FREE
100001513;FREEZER HORIZONTAL 02 PORTAS 400 A 450L 127V
100001287;BEBEDOURO ELETRICO COLUNA P/ GARRAFAO 20L 127V 280 X 940 X 370MM
100001285;BEBEDOURO ELETRICO PRESSAO TORRE/COLUNA 04L 127V
100001086;PURIFICADOR AGUA AGUA GELADA/NATURAL GABINETE AÇO BRANCO 127V
100000274;REFRIGERADOR DOMESTICO
100000114;REFRIGERADOR FRIGOBAR 120 A 124L 127V
100000108;PURIFICADOR AGUA GELADA/NATURAL POLIPROPILENO BRANCO 127V
100000054;FREEZER HORIZONTAL
100000012;BEBEDOURO ELETRICO
100000011;BEBEDOURO TIPO GARRAFAO 127V 900MM X 300MM X 270 MM
100006643;CONDICIONADOR AR TIPO FANCOIL 15TR
100006641;CONDICIONADOR AR TIPO FANCOIL 3TR
100006634;APARELHO DE AR CONDICIONADO SPLIT 90.000 BTU'S
100006633;APARELHO DE AR CONDICIONADO SPLIT 58.000 BTU'S
100006632;APARELHO DE AR CONDICIONADO SPLIT 57.000 BTU'S
100006631;APARELHO DE AR CONDICIONADO SPLIT 55.000 BTU'S
100006630;APARELHO DE AR CONDICIONADO SPLIT 48.000 BTU'S
100006629;APARELHO DE AR CONDICIONADO SPLIT 37.000 BTU'S
100006628;APARELHO DE AR CONDICIONADO SPLIT 36.000 BTU'S
100006627;APARELHO DE AR CONDICIONADO SPLIT 35.000 BTU'S
100006567;CONDICIONADOR SPLIT PAREDE/ HIWALL 9.000 BTU/H 127V C/ INSTALAÇAO
100006117;CONDICIONADOR AR PORTATIL 12.000 BTUS
100006116;CONDICIONADOR TRI-SPLIT 36.000 (3X12.000) 220V C/ INSTALAÇAO
100006115;CONDICIONADOR SPLIT PAREDE/ HIWALL 24.000 BTUS 220V
100006114;CONDICIONADOR SPLIT PAREDE/ HIWALL 22.000 BTUS 220V C/ INSTALAÇAO
100006113;CONDICIONADOR SPLIT CASSETE 48.000 BTU 220V C/ INSTALAÇAO
100006112;CONDICIONADOR SPLIT CASSETE 36.000 BTU 220V C/ INSTALAÇAO
100006111;CONDICIONADOR SPLIT CASSETE 60.000 BTU 220V C/ INSTALAÇAO
100006110;CONDICIONADOR SPLIT CASSETE 30.000 BTU 220V C/ INSTALAÇAO
100006067;CONDICIONADOR AR SPLIT INVERTER HIWALL 18.000 BTU/H (COMPRESSOR ROTATIVO)
100006064;CONDICIONADOR AR CASSETE 28.000 BTUS P/ SISTEMA VRF
100006063;CONDICIONADOR AR CASSETE 19.100 BTUS P/ SISTEMA VRF
100006062;CONDICIONADOR AR CASSETE 17.100 BTUS P/ SISTEMA VRF
100006061;CONDICIONADOR AR SPLIT PAREDE/HIWALL 19.100 BTUS P/ SISTEMA VRF
100006060;CONDICIONADOR AR SPLIT PAREDE/HIWALL 12.300 BTUS P/ SISTEMA VRF
100006059;CONDICIONADOR AR SPLIT PAREDE/HIWALL 7.500 BTUS P/ SISTEMA VRF
100006054;EMENDA PARLAMENTAR CONDICIONADOR AR SPLIT 24000 BTUS
100006053;EMENDA PARLAMENTAR CONDICIONADOR AR SPLIT 12000 BTUS
100005999;CONDICIONADOR AR KIT COMPLETO INSTALAÇAO LOTE 1,2,3 USO SEMIT
100005998;CONDICIONADOR SPLIT PAREDE/ HIWALL 18.000 BTUS 220V
100005997;CONDICIONADOR CASSETE 60.000 BTUS 220V
100005996;CONDICIONADOR CASSETE 48.000 BTUS 220V
100005981;CONDICIONADOR AR SPLIT PISO TETO CICLO FRIO 48.000 BTU/H 220V
100005980;CONDICIONADOR AR SPLIT PAREDE/HIWALL CICLO FRIO 30.000 BTU/H 220V C/ INSTALAÇAO
100005979;CONDICIONADOR AR SPLIT PAREDE/HIWALL CICLO FRIO 18.000 BTU/H 220V C/ INSTALAÇAO
100005510;CONDICIONADOR SPLIT PAREDE/ HIWALL 36.000 BTU/H 220V C/ INSTALAÇAO
100005509;CONDICIONADOR SPLIT PAREDE/ HIWALL 24.000 BTU/H 220V C/ INSTALAÇAO
100005457;CONDICIONADOR AR TIPO FANCOIL 7,5TR
100005456;CONDICIONADOR AR TIPO FANCOIL 10TR
100005287;CONDICIONADOR JANELA 7.500 BTU/H 220V S/ INSTALAÇAO
100005122;CONDICIONADOR TETO 40.000 BTUS
100005073;CONDICIONADOR SPLIT 9.000 A 12.000 BTUS USO DIRETORIA ATENÇAO SAUDE
100004984;CONDICIONADOR SPLIT PAREDE/ HIWALL 7.000 A 7.500 BTU/H 220V C/ INSTALAÇAO
100004884;CONDICIONADOR JANELA 7. 500 A 8.500 BTU/H 127V C/ INSTALAÇAO
100004506;CONDICIONADOR JANELA 12.000 BTU/H 220V S/ INSTALAÇAO
100004505;CONDICIONADOR JANELA 10.000 BTU/H 220V S/ INSTALAÇAO
100004504;CONDICIONADOR JANELA 18.000 BTU/H 220V S/ INSTALAÇAO
100004503;CONDICIONADOR JANELA 21.000 BTU/H 220V S/ INSTALAÇAO
100004502;CONDICIONADOR JANELA 30.000 BTU/H 220V S/ INSTALAÇAO
100004312;SISTEMA RENOVAÇAO AR
100004237;SPLIT PISO TETO 36.000 BTU C/ INSTALAÇAO
100004236;SPLIT PISO TETO 48.000 BTU C/ INSTALAÇAO
100004226;SPLIT HI WALL INVERTER 12.000 BTU C/ INSTALAÇAO
100004225;SPLIT HI WALL INVERTER 18.000 BTU C/ INSTALAÇAO
100004224;SPLIT PISO TETO 58.000 BTU C/ INSTALAÇAO
100004046;CONDICIONADOR SPLIT CASSETE 18.000 BTU/H 220V C/ INSTALAÇAO
100004022;CLIMATIZADOR AMBIENTE
100003906;CONDICIONADOR SPLIT PAREDE/ HIWALL 24.000 BTU/H 220V (2 EVAPORADORES E 1 UNIDADE CONDENSADORA EXTERNA)
100003796;CONDICIONADOR AR PORTATIL
100003556;CONDICIONADOR SPLIT PISO TETO 60.000 BTU/H 220V C/ INSTALAÇAO
100003555;CONDICIONADOR SPLIT CASSETE 24.000 BTU/H 220V C/ INSTALAÇAO
100003334;CONDICIONADOR SPLIT
100003333;CONDICIONADOR JANELA
100003250;CONDICIONADOR SPLIT PAREDE/ HIWALL 9.000 BTU/H 220V S/ INSTALAÇAO
100003231;CENTRAL CONDICIONAMENTO AR P/ CLIMATIZAÇAO AMBIENTE
100002606;CONDICIONADOR SPLIT PAREDE/ HIWALL 30.000 BTU/H 220V C/ INSTALAÇAO
100002604;CONDICIONADOR SPLIT PAREDE/ HIWALL 12.000 BTU/H 220V C/ INSTALAÇAO
100002292;CONDICIONADOR SPLIT PISO TETO 30.000 BTU/H 220V C/ INSTALAÇAO
100002242;CONDICIONADOR SPLIT 10.000 BTU/H 220V
100002010;CONDICIONADOR JANELA 7.500 BTU/H 220V
100001857;CONDICIONADOR SPLIT PISO TETO 18.000 BTU/H 220V C/ INSTALAÇAO
100001446;CONDICIONADOR SPLIT PISO TETO 48.000 BTU/H 220V S/ INSTALAÇAO
100001445;CONDICIONADOR SPLIT PISO TETO 48.000 BTU/H 220V C/ INSTALAÇAO
100001440;CONDICIONADOR SPLIT PISO TETO 24.000 BTU/H 220V C/ INSTALAÇAO
100001437;CONDICIONADOR SPLIT PAREDE/ HIWALL 21.000 BTU/H 220V S/ INSTALAÇAO
100001436;CONDICIONADOR SPLIT PAREDE/ HIWALL 18.000 BTU/H 220V C/ INSTALAÇAO
100001432;CONDICIONADOR SPLIT PAREDE/ HIWALL 9.000 BTU/H 220V C/ INSTALAÇAO
100001431;CONDICIONADOR SPLIT PAREDE/ HIWALL 7.000 BTU/H 220V
100001430;CONDICIONADOR JANELA 7.500 A 8.500 BTU/H 127V
100001429;CONDICIONADOR JANELA 7.000 BTU/H 127V
100001428;CONDICIONADOR JANELA 30.000 BTU/H 220V C/ INSTALAÇAO
100001427;CONDICIONADOR JANELA 28.000 BTU/H 220V
100001425;CONDICIONADOR JANELA 21.000 BTU/H 220V C/ INSTALAÇAO
100001424;CONDICIONADOR JANELA 18.000 220V C/ INSTALAÇAO
100001422;CONDICIONADOR JANELA 12.000 BTU/H 220V C/ INSTALAÇAO
